Species,Character1,Character2,Character3,Character4,Character5,Character6,Character7,Character8,Character9,Character10,Character11,Character12,Character13,Character14,Character15,Character16,Character17
Agathis,4,"1,2",2,2,2,1,2,1,1,2,1,1,2,2,3,2,2
Lytopylus,4,2,2,"1,2",2,2,2,1,1,2,1,1,2,1,3,2,2
Braunsia,4,"1,2",2,1,2,2,2,1,2,2,1,1,2,1,3,2,2
Camptothlipsis,4,3,2,2,2,2,2,3,1,2,1,1,2,2,3,2,2
Therophilus,4,2,2,2,2,2,2,1,"1,2",2,1,1,"1,2",2,3,2,2
Bassus,4,2,3,2,2,2,2,1,1,2,1,1,2,2,3,2,2
Earinus,4,1,2,2,2,2,2,"1,2",1,2,2,2,2,2,3,2,2
Biroia,1,1,1,2,2,1,1,2,1,2,2,1,2,2,1,2,2
Gyrochus,3,1,1,2,2,2,1,2,2,1,2,1,2,2,1,2,2
Troticus,2,1,1,2,2,2,1,2,2,1,1,1,2,2,1,2,2
Coccygidium,1,"1,2",1,2,1,2,1,2,1,1,1,1,1,2,2,2,2
Hypsostypos,2,"1,2",1,2,2,2,1,2,1,1,1,1,1,2,2,2,1
Amputostypos,4,"1,2",1,2,2,2,2,2,1,1,1,1,1,2,3,2,2
Euagathis,4,"1,2",1,2,2,"1,2",2,2,"1,2",1,1,1,2,2,3,2,2
Disophrys,1,1,1,2,2,"1,2",1,2,"1,2",1,1,1,2,2,1,2,2
Cremnops,"1,2",1,1,2,2,1,1,2,1,2,1,1,2,2,2,2,2
Cremnoptoides,1,1,1,2,2,"1,2",1,2,"1,2",2,1,1,1,2,1,2,2
Aneurobracon,4,3,"2,3",2,2,2,2,3,1,2,1,1,2,2,3,1,2
