Species,Character1,Character2,Character3,Character4,Character5,Character6,Character7,Character8,Character9,Character10,Character11,Character12,Character13,Character14,Character15,Character16,Character17,Character18,Character19,Character20,Character21,Character22,Character23,Character24,Character25,Character26,Character27,Character28,Character29,Character30,Character31,Character32,Character33,Character34,Character35,Character36,Character37,Character38,Character39,Character40,Character41,Character42,Character43,Character44,Character45,Character46,Character47,Character48,Character49,Character50,Character51,Character52,Character53,Character54,Character55,Character56,Character57,Character58,Character59,Character60,Character61,Character62,Character63,Character64,Character65,Character66,Character67,Character68,Character69,Character70,Character71,Character72,Character73,Character74,Character75
Agrostis,"1,2",1,2,2,2,1,"1,2",2,1,1,2,5,"1,2",2,2,Not Applicable,Not Applicable,2,2,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,1,Missing,"1,2","1,2",1,2,2,2,2,"1,2",1,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,"1,2",Missing,"1,2,3","1,2",2,2,"1,2,3",2,2,2,1,"1,2,3",1,2,2,2,1,2,1,1,2,1,3,2,Not Applicable,1,2,2,"1,2",1,2,"1,2",2
Andropogon,"1,2","1,2",2,"1,2",Missing,1,Missing,"1,2",1,"1,2",2,"2,5",Missing,"1,2",1,2,2,Missing,1,1,2,1,"3,4",Missing,"1,2,3",3,Not Applicable,2,1,1,2,2,2,"1,2",Missing,"1,2,3",2,1,1,2,2,1,2,Missing,3,1,1,2,"2,3",2,Missing,"1,2",1,3,1,1,"1,2","1,2",1,2,Missing,1,2,1,3,1,3,2,2,2,1,2,1,"1,2",2
Anisopogon,2,1,2,Missing,2,1,1,2,1,2,2,5,1,2,2,Not Applicable,Not Applicable,2,2,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2,1,1,Missing,1,1,1,2,2,2,2,2,3,"1,2",2,Missing,Missing,Missing,1,2,Missing,3,2,1,2,3,2,2,2,1,1,1,2,2,2,2,"2,3",1,1,2,2,"1,2",2,Not Applicable,1,2,2,2,1,2,2,2
Bambusa,2,3,1,1,2,Missing,Missing,1,1,"1,2",2,Missing,1,1,2,Not Applicable,Missing,2,2,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"1,2","1,2",1,2,1,2,1,2,2,1,2,1,3,2,"2,3","1,2",2,2,"1,2",1,2,"1,2",Not Applicable,Not Applicable,Not Applicable,Not Applicable,"1,2",Missing,3,1,1,1,2,1,3,2,3,Missing,Missing,2,2,3,2,Not Applicable,1,1,1,1,3,2,2,2
Chloris,"1,2","1,2",2,Missing,2,1,Missing,2,1,"2,3",2,2,Not Applicable,2,2,Not Applicable,"1,2",1,2,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,1,Missing,1,1,1,2,1,1,2,Missing,"1,2,3",2,2,Missing,Missing,Missing,1,"1,2",Missing,3,"1,2","1,3",1,Missing,1,2,"1,2",1,1,1,1,2,2,1,2,"1,2",1,2,1,"1,3",1,1,1,2,2,1,"1,2","1,2","1,2",2
Cynodon,2,1,2,Missing,2,1,Missing,2,1,"2,3",2,2,Not Applicable,2,2,Not Applicable,1,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,"1,2",Missing,"1,2",2,1,2,"1,2",1,2,1,"1,2,3","1,2",2,Missing,Missing,Missing,1,1,"1,2",1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,Missing,"1,2",1,1,1,1,2,2,1,2,2,1,2,1,3,1,2,1,2,2,1,"1,2",2,2,2
Echinochloa,"1,2","1,2",2,"1,2",2,Missing,Missing,2,"1,2",3,2,2,Missing,2,2,Not Applicable,Missing,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,3,3,Missing,2,2,1,2,1,"1,2","1,2",Missing,3,2,1,1,"1,2","1,2",1,1,Missing,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2,1,2,1,1,1,1,2,2,1,2,2,1,2,1,3,1,3,2,2,2,1,2,1,1,2
Eleusine,"1,2",1,2,Missing,2,1,Missing,2,1,2,2,2,"1,2",2,2,Not Applicable,Missing,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,"1,4",2,1,2,1,2,1,1,2,1,3,"1,2",2,Missing,Missing,Missing,2,1,"1,2","1,2",Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,Missing,2,1,Missing,1,"1,2",2,2,1,2,"1,3",1,1,1,1,1,2,1,2,2,1,1,2,2,2
Festuca,2,"1,2",2,2,2,1,"1,2",2,1,1,2,5,"1,2",2,2,Not Applicable,Not Applicable,2,2,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"1,2",1,1,2,1,2,1,2,1,1,2,"1,2",3,2,2,Missing,Missing,Missing,2,"1,2","1,2","1,2,3",1,"1,3",1,"1,2",2,Missing,2,1,1,1,2,"1,2",2,"1,2",2,1,"1,2",2,2,3,2,Not Applicable,1,2,2,"1,2",1,2,"1,2",2
Oryza,"1,2","1,2",2,Missing,2,1,Missing,"1,2",1,1,2,"2,5",1,2,2,Not Applicable,Not Applicable,2,2,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,1,Missing,2,2,"1,2",2,2,1,2,Missing,1,2,1,2,2,2,1,1,1,"1,2,3",1,3,1,"1,2,3",1,Missing,"2,3",1,1,1,2,2,3,1,2,Missing,"1,2",2,2,3,2,Not Applicable,1,1,2,1,3,2,2,2
Panicum,"1,2","1,2","1,2","1,2","1,2",Missing,Missing,"1,2",1,"1,2,3",2,5,"1,2",2,2,Not Applicable,Not Applicable,2,2,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,3,"3,4",Missing,2,2,1,2,1,2,2,Missing,3,2,1,"1,2","1,2",2,1,1,"1,2",1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2,1,"2,3",1,1,1,1,2,2,1,2,2,1,2,1,3,"1,2","1,2,3","1,2",2,2,"1,2","1,2","1,2","1,2",2
Phragmites,2,"1,2","1,2","1,2",2,1,2,2,1,3,2,5,1,2,2,Not Applicable,Not Applicable,2,2,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"1,2",1,1,2,1,1,1,2,1,1,2,2,3,2,3,1,"1,2",2,2,1,1,"1,3",1,3,1,1,2,Missing,"1,2",1,2,1,1,"1,2",2,1,2,3,1,2,1,3,2,Not Applicable,1,1,2,1,2,2,2,2
Poa,"1,2",1,2,2,Missing,1,"1,2",2,1,"1,2","2,3",5,"1,2",2,2,Not Applicable,Not Applicable,2,2,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,1,2,1,"1,2",1,2,"1,2",1,2,1,3,"1,2",2,Missing,Missing,Missing,2,1,1,"1,2",Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,2,"2,3",1,"1,2",1,2,2,2,1,2,1,1,2,1,3,2,Not Applicable,1,2,2,1,1,2,"1,2",2
Zea,1,2,2,Missing,2,Missing,Missing,2,1,2,1,Not Applicable,Not Applicable,2,2,Not Applicable,2,2,"1,2",Missing,Missing,Missing,Missing,Missing,"2,3",4,Missing,2,2,1,2,2,2,2,Not Applicable,1,2,1,1,2,2,1,Missing,Missing,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2,Missing,2,1,1,2,Not Applicable,Not Applicable,1,1,2,"1,2",1,2,1,3,1,3,2,2,2,1,2,1,1,1
