Species,Character1,Character2,Character3,Character4,Character5,Character6,Character7,Character8,Character9,Character10,Character11,Character12,Character13,Character14,Character15,Character16,Character17,Character18,Character19,Character20,Character21,Character22,Character23,Character24
Niphargus_alisadri,1,Missing,2,1,1,2,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1
Niphargus_altagahizi,5,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,Missing,1,1,2
Niphargus_anatolicus,2,Missing,2,1,1,2,Missing,2,1,1,1,1,1,1,1,1,2,1,1,1,Missing,1,2,1
Niphargus_bisitunicus_sp.n.,1,Missing,1,1,1,2,1,2,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,2
Niphargus_borisi_sp.n.,1,Missing,1,1,1,1,1,2,1,2,1,1,1,2,3,2,1,1,1,1,1,1,1,2
Niphargus_daniali,1,Missing,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,"1,2"
Niphargus_darvishi_sp.n.,1,Missing,1,1,2,2,1,1,2,1,1,2,2,1,3,1,3,1,1,1,1,1,1,2
Niphargus_imitator_Karaman_2012,2,Missing,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,"1,2",2,2,1,1,1
Niphargus_incus_Karaman_2012,2,Missing,2,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,"1,2",1,2,1,1,1
Niphargus_itus_Karaman_1986,6,2,1,1,2,2,1,1,2,1,1,1,2,1,3,1,1,1,1,1,2,1,1,2
Niphargus_khayyami,1,2,1,1,2,2,2,2,1,1,2,"1,2","1,2",1,"1,3",1,1,1,2,1,1,Missing,Missing,Missing
Niphargus_khwarizmi,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,"1,2",1,1,1,1,1,1,1
Niphargus_krigizi,2,2,2,1,1,1,1,2,1,1,1,1,1,3,"1,3",1,1,1,1,2,2,1,1,1
Niphargus_nadarini,"5,6",2,1,1,1,2,1,1,2,1,1,1,2,1,3,1,1,1,1,1,Missing,1,1,2
Niphargus_nadarini_favitor,4,2,1,1,1,2,1,1,2,1,1,"1,2",2,1,1,1,1,1,1,1,2,1,1,1
Niphargus_nadarini_iraquensis,3,1,1,1,"1,3",2,1,1,2,1,1,"1,2",2,1,"1,3",1,1,1,1,1,2,1,1,3
Niphargus_orientalis_Karaman_1950,2,2,2,1,1,2,Missing,2,1,1,1,2,2,Missing,3,1,"1,2",1,2,1,Missing,Missing,Missing,Missing
Niphargus_religiosus_Karaman_2012,2,2,1,2,1,2,1,2,1,1,1,1,Missing,1,3,1,1,1,2,1,2,Missing,Missing,Missing
Niphargus_sertaci,2,2,1,1,1,"1,2",1,1,2,1,1,"1,2","1,2",2,1,1,1,1,2,1,1,1,1,1
Niphargus_sharifi_sp._n.,1,2,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2
Niphargus_tauri_tauri_Schellenberg_1933,2,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1
Niphargus_tauri_afioni_Karaman_2012,2,2,2,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,1,2,2,Missing,Missing,3
Niphargus_turcicus_Andreev_&_Kenderov_2012,2,1,2,2,1,2,1,2,1,1,1,1,1,Missing,1,1,2,1,1,1,Missing,1,2,1
Niphargus_valachicus_Dobreanu_&_Manolache_1933,"1,2",2,1,1,1,"1,2",1,1,2,1,1,2,2,1,2,1,3,1,2,1,1,2,1,2
